asignatura,curso,fecha,hora,duracion,tipo,asistentes,inscripcion,aulas
HUM,4,15/06/2024,19:00,179,Practico,74,No,I2.35-22;A1.10-50
FI,1,01/06/2024,09:00,165,Teorico,27,Si,I2.35-22
MA,1,01/06/2024,16:00,179,Practico,40,No,A1.10-50;I2.31-18;I2.33-22;I2.35-22
M1,2,20/06/2024,19:00,72,Practico,33,Si,I2.35-22;A1.10-50
PRG,3,10/06/2024,19:00,147,Practico,94,Si,I2.35-22;A1.10-50
M2,2,25/05/2024,16:30,88,Practico,88,No,A1.10-50;I2.31-18;I2.33-22
HUM,4,07/06/2024,12:00,107,Teorico,72,Si,F1.30-24;I2.31-18;A1.10-50;F1.31-25;I2.33-22
FP,1,31/05/2024,09:00,110,Teorico,86,No,A1.10-50;I2.31-18
M2,2,19/06/2024,09:00,169,Teorico,58,No,I2.35-22;A1.10-50;I2.31-18
M1,2,19/06/2024,12:30,102,Teorico,37,No,I2.31-18;I2.35-22;F1.30-24;F1.31-25;I2.33-22
IPO,4,26/05/2024,16:30,100,Teorico,62,Si,A1.10-50;I2.33-22;F1.30-24;I2.31-18
FI,1,25/05/2024,12:00,88,Teorico,67,No,I2.33-22
SEG,4,07/06/2024,09:00,101,Practico,62,Si,I2.35-22;I2.33-22;F1.31-25
IA,3,21/06/2024,12:00,64,Practico,24,No,I2.31-18;F1.30-24;I2.33-22;A1.10-50
IA,3,25/05/2024,16:00,86,Teorico,91,No,A1.10-50;I2.31-18;F1.30-24;I2.33-22
SEG,4,10/06/2024,12:30,80,Teorico,96,No,I2.33-22;I2.35-22
PRG,3,05/06/2024,09:00,179,Practico,65,No,I2.35-22;F1.31-25
HUM,4,19/06/2024,19:30,135,Teorico,61,Si,I2.33-22
M2,2,06/06/2024,09:00,60,Teorico,85,No,F1.30-24;A1.10-50;I2.35-22;I2.31-18
M1,2,26/05/2024,16:30,62,Teorico,39,No,I2.33-22